DATE,num_of_arrival_and_departure_delays
1992-01-01,2509
1992-01-02,3503
1992-01-03,5190
1992-01-04,4849
1992-01-05,3964
1992-01-06,4390
1992-01-07,3341
1992-01-08,4091
1992-01-09,2712
1992-01-10,3147
1992-01-11,1271
1992-01-12,3490
1992-01-13,5445
1992-01-14,6386
1992-01-15,6952
1992-01-16,4781
1992-01-17,6030
1992-01-18,4924
1992-01-19,2795
1992-01-20,2569
1992-01-21,2609
1992-01-22,2127
1992-01-23,6375
1992-01-24,3937
1992-01-25,3668
1992-01-26,2363
1992-01-27,3842
1992-01-28,3959
1992-01-29,2724
1992-01-30,2523
1992-01-31,3021
1992-02-01,1733
1992-02-02,1790
1992-02-03,1834
1992-02-04,1875
1992-02-05,3425
1992-02-06,3139
1992-02-07,3300
1992-02-08,2506
1992-02-09,3123
1992-02-10,2996
1992-02-11,2976
1992-02-12,5209
1992-02-13,7049
1992-02-14,7866
1992-02-15,5551
1992-02-16,2779
1992-02-17,3241
1992-02-18,6361
1992-02-19,4425
1992-02-20,2300
1992-02-21,2884
1992-02-22,3038
1992-02-23,4398
1992-02-24,4395
1992-02-25,4393
1992-02-26,3176
1992-02-27,2336
1992-02-28,2387
1992-02-29,2050
1992-03-01,2646
1992-03-02,2800
1992-03-03,4888
1992-03-04,4305
1992-03-05,4447
1992-03-06,7612
1992-03-07,5347
1992-03-08,3977
1992-03-09,4144
1992-03-10,6337
1992-03-11,4690
1992-03-12,3362
1992-03-13,3093
1992-03-14,2851
1992-03-15,2696
1992-03-16,1918
1992-03-17,3075
1992-03-18,4628
1992-03-19,6819
1992-03-20,4761
1992-03-21,4308
1992-03-22,8260
1992-03-23,3431
1992-03-24,3516
1992-03-25,3302
1992-03-26,4318
1992-03-27,3836
1992-03-28,2996
1992-03-29,3344
1992-03-30,3208
1992-03-31,2592
1992-04-01,2927
1992-04-02,2524
1992-04-03,2634
1992-04-04,1541
1992-04-05,2441
1992-04-06,1682
1992-04-07,2958
1992-04-08,2138
1992-04-09,2017
1992-04-10,2999
1992-04-11,2896
1992-04-12,3425
1992-04-13,1590
1992-04-14,1775
1992-04-15,4074
1992-04-16,5490
1992-04-17,4800
1992-04-18,2340
1992-04-19,3518
1992-04-20,4344
1992-04-21,4643
1992-04-22,2531
1992-04-23,2791
1992-04-24,4308
1992-04-25,1770
1992-04-26,2047
1992-04-27,1757
1992-04-28,1823
1992-04-29,2102
1992-04-30,3986
1992-05-01,4445
1992-05-02,2349
1992-05-03,1967
1992-05-04,1533
1992-05-05,2117
1992-05-06,2799
1992-05-07,3247
1992-05-08,5463
1992-05-09,1934
1992-05-10,1828
1992-05-11,1555
1992-05-12,1769
1992-05-13,2929
1992-05-14,4101
1992-05-15,3193
1992-05-16,2783
1992-05-17,4042
1992-05-18,2386
1992-05-19,2378
1992-05-20,3075
1992-05-21,4420
1992-05-22,4897
1992-05-23,1579
1992-05-24,764
1992-05-25,2194
1992-05-26,2627
1992-05-27,2166
1992-05-28,3611
1992-05-29,3053
1992-05-30,1764
1992-05-31,4110
1992-06-01,4310
1992-06-02,2060
1992-06-03,2711
1992-06-04,4265
1992-06-05,6985
1992-06-06,3252
1992-06-07,2157
1992-06-08,3977
1992-06-09,2630
1992-06-10,3114
1992-06-11,3978
1992-06-12,4458
1992-06-13,4022
1992-06-14,4981
1992-06-15,3749
1992-06-16,3081
1992-06-17,4929
1992-06-18,6252
1992-06-19,7418
1992-06-20,4209
1992-06-21,2923
1992-06-22,2449
1992-06-23,3398
1992-06-24,4959
1992-06-25,7230
1992-06-26,5546
1992-06-27,4631
1992-06-28,4962
1992-06-29,4230
1992-06-30,4759
1992-07-01,5997
1992-07-02,7550
1992-07-03,5152
1992-07-04,1239
1992-07-05,3688
1992-07-06,2739
1992-07-07,2960
1992-07-08,3184
1992-07-09,3073
1992-07-10,4570
1992-07-11,2838
1992-07-12,5636
1992-07-13,4788
1992-07-14,5296
1992-07-15,7010
1992-07-16,6108
1992-07-17,5583
1992-07-18,4263
1992-07-19,2931
1992-07-20,4467
1992-07-21,4445
1992-07-22,4150
1992-07-23,7566
1992-07-24,5610
1992-07-25,2875
1992-07-26,2903
1992-07-27,4055
1992-07-28,2798
1992-07-29,3594
1992-07-30,5853
1992-07-31,8514
1992-08-01,4808
1992-08-02,4228
1992-08-03,4744
1992-08-04,4079
1992-08-05,3567
1992-08-06,3534
1992-08-07,4083
1992-08-08,3303
1992-08-09,4701
1992-08-10,4564
1992-08-11,5772
1992-08-12,7128
1992-08-13,5601
1992-08-14,6873
1992-08-15,4338
1992-08-16,4731
1992-08-17,7153
1992-08-18,4553
1992-08-19,3265
1992-08-20,3719
1992-08-21,3827
1992-08-22,2806
1992-08-23,3984
1992-08-24,3129
1992-08-25,3357
1992-08-26,5654
1992-08-27,8418
1992-08-28,4985
1992-08-29,2929
1992-08-30,2590
1992-08-31,2174
1992-09-01,3025
1992-09-02,2413
1992-09-03,6214
1992-09-04,5395
1992-09-05,2234
1992-09-06,1039
1992-09-07,2601
1992-09-08,3870
1992-09-09,5739
1992-09-10,7190
1992-09-11,4025
1992-09-12,1942
1992-09-13,2853
1992-09-14,2827
1992-09-15,3208
1992-09-16,2405
1992-09-17,3111
1992-09-18,5104
1992-09-19,1713
1992-09-20,2846
1992-09-21,3843
1992-09-22,3711
1992-09-23,2429
1992-09-24,2689
1992-09-25,3724
1992-09-26,2233
1992-09-27,2635
1992-09-28,1587
1992-09-29,1518
1992-09-30,1656
1992-10-01,1938
1992-10-02,2030
1992-10-03,1591
1992-10-04,3012
1992-10-05,2125
1992-10-06,1394
1992-10-07,2640
1992-10-08,4649
1992-10-09,5530
1992-10-10,1847
1992-10-11,2619
1992-10-12,2161
1992-10-13,1636
1992-10-14,3437
1992-10-15,5562
1992-10-16,7226
1992-10-17,1861
1992-10-18,2852
1992-10-19,2026
1992-10-20,2135
1992-10-21,1832
1992-10-22,2154
1992-10-23,2652
1992-10-24,1165
1992-10-25,2130
1992-10-26,1618
1992-10-27,1493
1992-10-28,2022
1992-10-29,4440
1992-10-30,5053
1992-10-31,2179
1992-11-01,4242
1992-11-02,4106
1992-11-03,4840
1992-11-04,3928
1992-11-05,4883
1992-11-06,3075
