DATE,num_of_arrival_delays
2020-01-01,2250
2020-01-02,2806
2020-01-03,3922
2020-01-04,4468
2020-01-05,3248
2020-01-06,2628
2020-01-07,1617
2020-01-08,2321
2020-01-09,1644
2020-01-10,3258
2020-01-11,3775
2020-01-12,3410
2020-01-13,3416
2020-01-14,2321
2020-01-15,1707
2020-01-16,4830
2020-01-17,3571
2020-01-18,3439
2020-01-19,2069
2020-01-20,2258
2020-01-21,1804
2020-01-22,1754
2020-01-23,2773
2020-01-24,2510
2020-01-25,1760
2020-01-26,1851
2020-01-27,2639
2020-01-28,1720
2020-01-29,1371
2020-01-30,2112
2020-01-31,3033
2020-02-01,1682
2020-02-02,1601
2020-02-03,2676
2020-02-04,1681
2020-02-05,2567
2020-02-06,7814
2020-02-07,7344
2020-02-08,1989
2020-02-09,3938
2020-02-10,3191
2020-02-11,2080
2020-02-12,2776
2020-02-13,7562
2020-02-14,3100
2020-02-15,1695
2020-02-16,1677
2020-02-17,2333
2020-02-18,2982
2020-02-19,2211
2020-02-20,2772
2020-02-21,2403
2020-02-22,1593
2020-02-23,1907
2020-02-24,2005
2020-02-25,2318
2020-02-26,4193
2020-02-27,2973
2020-02-28,2014
2020-02-29,1539
2020-03-01,2086
2020-03-02,2055
2020-03-03,1588
2020-03-04,3129
2020-03-05,2262
2020-03-06,2747
2020-03-07,1203
2020-03-08,1868
2020-03-09,1654
2020-03-10,1969
2020-03-11,1877
2020-03-12,2394
2020-03-13,4919
2020-03-14,2566
2020-03-15,2016
2020-03-16,1526
2020-03-17,1452
2020-03-18,1738
2020-03-19,2757
2020-03-20,2718
2020-03-21,1584
2020-03-22,1570
2020-03-23,1369
2020-03-24,927
2020-03-25,825
2020-03-26,667
2020-03-27,474
2020-03-28,580
2020-03-29,381
2020-03-30,416
2020-03-31,403
2020-04-01,495
2020-04-02,540
2020-04-03,489
2020-04-04,310
2020-04-05,270
2020-04-06,855
2020-04-07,252
2020-04-08,339
2020-04-09,380
2020-04-10,222
2020-04-11,209
2020-04-12,482
2020-04-13,419
2020-04-14,238
2020-04-15,321
2020-04-16,254
2020-04-17,293
2020-04-18,268
2020-04-19,340
2020-04-20,212
2020-04-21,167
2020-04-22,221
2020-04-23,181
2020-04-24,287
2020-04-25,175
2020-04-26,169
2020-04-27,130
2020-04-28,190
2020-04-29,160
2020-04-30,170
2020-05-01,155
2020-05-02,145
2020-05-03,219
2020-05-04,223
2020-05-05,196
2020-05-06,164
2020-05-07,241
2020-05-08,353
2020-05-09,192
2020-05-10,197
2020-05-11,208
2020-05-12,179
2020-05-13,143
2020-05-14,444
2020-05-15,360
2020-05-16,238
2020-05-17,265
2020-05-18,244
2020-05-19,166
2020-05-20,194
2020-05-21,273
2020-05-22,377
2020-05-23,224
2020-05-24,411
2020-05-25,310
2020-05-26,232
2020-05-27,294
2020-05-28,346
2020-05-29,310
2020-05-30,216
2020-05-31,275
2020-06-01,288
2020-06-02,192
2020-06-03,260
2020-06-04,432
2020-06-05,485
2020-06-06,416
2020-06-07,359
2020-06-08,308
2020-06-09,355
2020-06-10,393
2020-06-11,400
2020-06-12,436
2020-06-13,383
2020-06-14,407
2020-06-15,320
2020-06-16,257
2020-06-17,303
2020-06-18,458
2020-06-19,591
2020-06-20,535
2020-06-21,1045
2020-06-22,1106
2020-06-23,722
2020-06-24,433
2020-06-25,697
2020-06-26,826
2020-06-27,499
2020-06-28,745
2020-06-29,802
2020-06-30,496
2020-07-01,776
2020-07-02,1198
2020-07-03,759
2020-07-04,601
2020-07-05,1004
2020-07-06,1416
2020-07-07,1152
2020-07-08,742
2020-07-09,1178
2020-07-10,1627
2020-07-11,691
2020-07-12,1001
2020-07-13,853
2020-07-14,622
2020-07-15,952
2020-07-16,812
2020-07-17,854
2020-07-18,942
2020-07-19,1708
2020-07-20,1167
2020-07-21,978
2020-07-22,1025
2020-07-23,1070
2020-07-24,1013
2020-07-25,938
2020-07-26,808
2020-07-27,858
2020-07-28,684
2020-07-29,624
2020-07-30,891
2020-07-31,969
2020-08-01,831
2020-08-02,967
2020-08-03,1520
2020-08-04,937
2020-08-05,676
2020-08-06,1012
2020-08-07,900
2020-08-08,595
2020-08-09,867
2020-08-10,1624
2020-08-11,511
2020-08-12,927
2020-08-13,1199
2020-08-14,889
2020-08-15,837
2020-08-16,1147
2020-08-17,846
2020-08-18,563
2020-08-19,810
2020-08-20,804
2020-08-21,746
2020-08-22,595
2020-08-23,1191
2020-08-24,860
2020-08-25,476
2020-08-26,764
2020-08-27,1058
2020-08-28,1406
2020-08-29,646
2020-08-30,1600
2020-08-31,1164
2020-09-01,1059
2020-09-02,532
2020-09-03,958
2020-09-04,799
2020-09-05,624
2020-09-06,483
2020-09-07,859
2020-09-08,1517
2020-09-09,1234
2020-09-10,800
2020-09-11,537
2020-09-12,521
2020-09-13,579
2020-09-14,575
2020-09-15,289
2020-09-16,460
2020-09-17,974
2020-09-18,666
2020-09-19,452
2020-09-20,581
2020-09-21,511
2020-09-22,511
2020-09-23,469
2020-09-24,640
2020-09-25,619
2020-09-26,534
2020-09-27,634
2020-09-28,660
2020-09-29,636
2020-09-30,482
2020-10-01,799
2020-10-02,719
2020-10-03,677
2020-10-04,785
2020-10-05,533
2020-10-06,349
2020-10-07,357
2020-10-08,718
2020-10-09,864
2020-10-10,788
2020-10-11,1076
2020-10-12,943
2020-10-13,407
2020-10-14,539
2020-10-15,867
2020-10-16,1020
2020-10-17,790
2020-10-18,1065
2020-10-19,1175
2020-10-20,762
2020-10-21,670
2020-10-22,1229
2020-10-23,2812
2020-10-24,800
2020-10-25,2134
2020-10-26,1862
2020-10-27,965
2020-10-28,928
2020-10-29,1432
2020-10-30,939
2020-10-31,503
2020-11-01,958
2020-11-02,798
2020-11-03,328
2020-11-04,408
2020-11-05,724
2020-11-06,720
2020-11-07,587
2020-11-08,1152
2020-11-09,1018
2020-11-10,837
2020-11-11,823
2020-11-12,1609
2020-11-13,971
2020-11-14,876
2020-11-15,1281
2020-11-16,634
2020-11-17,477
2020-11-18,480
2020-11-19,780
2020-11-20,804
2020-11-21,840
2020-11-22,1229
2020-11-23,892
2020-11-24,2119
2020-11-25,971
2020-11-26,272
2020-11-27,607
2020-11-28,829
2020-11-29,1271
2020-11-30,2109
2020-12-01,1519
2020-12-02,763
2020-12-03,881
2020-12-04,777
2020-12-05,666
2020-12-06,911
2020-12-07,817
2020-12-08,499
2020-12-09,441
2020-12-10,630
2020-12-11,1076
2020-12-12,855
2020-12-13,1834
2020-12-14,1122
2020-12-15,747
2020-12-16,1351
2020-12-17,2248
2020-12-18,1759
2020-12-19,2218
2020-12-20,1462
2020-12-21,1563
2020-12-22,1402
2020-12-23,2064
2020-12-24,1457
2020-12-25,1043
2020-12-26,2531
2020-12-27,2591
2020-12-28,1949
2020-12-29,2003
2020-12-30,2986
2020-12-31,1367
