DATE,num_of_departure_delays
2009-01-01,2399
2009-01-02,4228
2009-01-03,4418
2009-01-04,5248
2009-01-05,5031
2009-01-06,4064
2009-01-07,4047
2009-01-08,2317
2009-01-09,2738
2009-01-10,2374
2009-01-11,3124
2009-01-12,2638
2009-01-13,1789
2009-01-14,2850
2009-01-15,3639
2009-01-16,4033
2009-01-17,2256
2009-01-18,2614
2009-01-19,2941
2009-01-20,1891
2009-01-21,1500
2009-01-22,1916
2009-01-23,2215
2009-01-24,1269
2009-01-25,2767
2009-01-26,2611
2009-01-27,2358
2009-01-28,4775
2009-01-29,3018
2009-01-30,2475
2009-01-31,1157
2009-02-01,1153
2009-02-02,1630
2009-02-03,2008
2009-02-04,1653
2009-02-05,2055
2009-02-06,2014
2009-02-07,914
2009-02-08,2022
2009-02-09,1409
2009-02-10,1099
2009-02-11,2875
2009-02-12,3412
2009-02-13,4188
2009-02-14,2608
2009-02-15,2261
2009-02-16,3205
2009-02-17,2860
2009-02-18,3391
2009-02-19,2815
2009-02-20,2787
2009-02-21,2378
2009-02-22,3252
2009-02-23,2534
2009-02-24,1384
2009-02-25,1351
2009-02-26,2978
2009-02-27,4015
2009-02-28,2284
2009-03-01,3709
2009-03-02,4771
2009-03-03,2763
2009-03-04,1887
2009-03-05,1807
2009-03-06,2153
2009-03-07,1859
2009-03-08,3580
2009-03-09,3582
2009-03-10,2354
2009-03-11,3179
2009-03-12,2653
2009-03-13,3140
2009-03-14,2784
2009-03-15,4035
2009-03-16,3759
2009-03-17,1424
2009-03-18,3530
2009-03-19,2624
2009-03-20,2637
2009-03-21,1767
2009-03-22,3291
2009-03-23,2383
2009-03-24,2434
2009-03-25,2329
2009-03-26,4984
2009-03-27,4863
2009-03-28,3344
2009-03-29,5192
2009-03-30,3255
2009-03-31,2062
2009-04-01,2604
2009-04-02,5756
2009-04-03,5388
2009-04-04,2554
2009-04-05,2826
2009-04-06,4239
2009-04-07,2632
2009-04-08,2206
2009-04-09,2945
2009-04-10,3051
2009-04-11,1853
2009-04-12,2803
2009-04-13,4139
2009-04-14,3425
2009-04-15,2971
2009-04-16,2329
2009-04-17,3719
2009-04-18,2964
2009-04-19,3357
2009-04-20,3182
2009-04-21,2689
2009-04-22,1862
2009-04-23,2303
2009-04-24,2160
2009-04-25,1636
